Country,Landmark Type,Name,City,Comments
Hungary,Tomb,Tomb of Gül Baba,Budapest,
Hungary,Mosque,Pasha Qasim Mosque,Pécs,Converted into a church
Hungary,Mosque,Yakovalı Hasan Paşa Mosque,Pécs,
Hungary,Mosque,Malkocs Bey Mosque,Siklós,
Hungary,Minaret,Eger Minaret,Eger,
Hungary,Mosque,Öziçeli Hacci Ibrahim Mosque,Esztergom,
Hungary,Graves,Esztergom Castle,Esztergom,
Hungary,Memorial Complex,Mohács Memorial Park,Mohács,
Hungary,Bathhouse,Király Baths,"Ganz Street, Budapest",
Hungary,Excavations,Turbék,Near Szigetvár,
Hungary,Former Mosque,Mosque of Sultan Suleiman,"Szigetvár, Zrínyi Castle",
Slovakia,Fortress,Fil'akovo Fortress,Fil'akovo,Said to be occupied by Ottoman troops
Serbia,Mosque,Bajrakli Mosque,Belgrade,
Serbia,Mosque,Altun-Alem Mosque,Novi Pazar,
Serbia,Fountain,Mehmed Paša Sokolović's Fountain,Belgrade,
Serbia,Mosque,Islam-agina Džamija,Niš,Built on top of older Ottoman mosque from 1720
Serbia,Caravansarai,Stari Han,Kremna,
Serbia,Fortress,Niš Fortress,Niš,
Serbia,Fortress,Belgrade Fortress,Belgrade,
Serbia,Fortress,Golubac Fortress,Golubac,
Serbia,Fortress,Ram Fortress,Ram,
Serbia,Fortress,Fetislam Fortress,Kladovo,
Serbia,Fortress,Šabac Fortress,Šabac,
Serbia,Fortress,Užice Fortress,Užice,
Serbia,Mosque,Sultan-Valide Mosque,Sjenica,
Serbia,Tomb,Sheikh Mustafa's Turbe,Belgrade,
Serbia,Tomb,Damad Ali Pasha Turbe,Belgrade,
Serbia,Bridge,Old Bridge,Vranje,
Serbia,Tower,Skull Tower,Niš,
Serbia,Fountains,Two fountains in Ledinci,Novi Sad,
Serbia,Graveyard and Tomb,Gazilar Graveyard with turbe,Novi Pazar,
Serbia,Bridge,Begov Bridge,Staničenje,
Serbia,Bathhouse,Bač hammam,Bač,
Serbia,Bathhouse,Hammam in Niš Fortress,Niš,Next to jazz museum
Serbia,Bathhouse,Old Hammam,Novi Pazar,
Serbia,Bathhouse,Hammam in Sokobanja,Sokobanja,
Serbia,Mosque,Leylek Camii,Novi Pazar,
Serbia,Mosque,Bali-Beg Mosque,Niš,
Serbia,Former Pasha's Residence,Vranje Museum,Vranje,
Serbia,Fortress,Bač Fortress,Bač,
Serbia,Mosque,Mahmut-Beg Mosque,Prijepolje,
Serbia,Fortress,Mileševac Fortress,Prijepolje,
Serbia,Bathhouse,Hammam Vranje,Vranje,
Serbia,Inn/Caravansarai,Amir Aga's Inn,Novi Pazar,
Serbia,Caravansarai,Stari Han,Kosjerić,
Serbia,Mosque,Skender-Paša Mosque,Nova Varoš,
Serbia,Mosque,Hasan Çelebi (Arab) Mosque,Novi Pazar,
Serbia,Mosque,Džamija Ugao,Pešter Plateau,
Serbia,Mosque,Hasan-Aga's Mosque,Priboj,
Serbia,Mosque,Iskender-Kelebi Mosque,Novi Pazar,
Serbia,Mosque,Hasan-begova Džamija,Niš,Only minaret remains
